Wall ID,Height,Foundation Height,Cap Deterioration,Out of Plane,Structural Cracking,Cracking Junction,Sill 1,Sill 2,Coat 1 Cracking,Coat 1 Loss,Coat 2 Cracking,Coat 2 Loss,Lintel Deterioration,Surface Loss Top,Surface Loss Mid,Surface Loss Low,Foundation Displacement 1,Foundation Displacement 2,Foundation Mortar 1,Foundation Mortar 2,Foundation Stone Det,Treatment,Bracing,Bracing Score,Animal Activity,Fireplace,Point Cloud Mean,Point Cloud Deviation,Total Scr
Wall_022,1,21.78847141836069,1,1,0,5,2,1,3,2,1,2,4,0,1,3,2,0,1,0,2,0,1,3,0,0,1.9979470497634981,0.9900934470112359,26.822815972914498
Wall_023,2,24.391460570902,1,0,0,1,0,0,1,1,1,1,1,1,2,2,4,3,3,2,2,1,0,0,1,1,1.0719765998468107,2.7323734629147975,21.7471846625633
Wall_024,2,12.17741619544491,0,0,0,2,2,1,0,0,0,0,0,3,1,3,1,1,2,2,5,1,0,0,1,0,-0.8527697563717933,0.6727243746847422,18.06927897668515
Wall_025,3,9.05222507060217,0,3,3,2,1,0,3,2,4,2,3,1,2,2,0,2,1,1,4,1,1,2,0,1,-0.41617282058807226,2.9469709834566635,16.05738024796176
Wall_026,4,8.345441346269624,2,2,0,0,1,1,4,2,0,1,3,0,1,1,0,2,0,0,1,1,0,0,2,0,0.5296966966295569,0.783347643092252,43.086121907282426
Wall_027,2,0.6867039209949389,2,2,0,3,1,1,1,4,1,3,1,0,0,4,1,1,0,0,5,1,0,0,1,0,-2.238890233865837,0.5967658231303172,34.93969437915505
Wall_028,3,13.58043708688334,2,3,2,4,0,0,0,1,0,1,1,0,1,3,4,2,2,1,1,1,0,0,1,0,2.490021648471674,0.9076767386275694,42.885658643045744
Wall_029,3,14.520463488321393,0,0,0,0,3,2,0,0,0,2,0,3,1,4,0,0,0,0,3,0,0,0,0,1,0.7216348270187102,2.1560465228205086,62.776489556301634
Wall_030,1,9.656542396345868,1,0,0,0,4,4,2,2,3,1,4,3,2,1,1,0,1,0,1,0,0,0,1,0,0.18694066980492147,0.20201583530971962,0.0
Wall_031,3,5.2693660731621055,2,0,1,3,4,4,5,4,4,2,4,1,4,2,2,1,0,0,3,0,0,0,0,0,2.9812413975786773,0.3280163378433362,65.31790908298628
Wall_032,2,24.79951224099135,0,0,0,0,2,1,2,3,2,2,5,3,1,1,2,1,0,0,4,0,0,0,1,2,-0.3002841080284243,4.537581768657821,19.934590746475042
Wall_033,1,10.6973758596561,0,0,0,0,0,0,3,1,2,2,2,1,2,2,1,1,2,1,3,1,0,0,0,1,-0.45605249288104266,0.2894519733764568,17.2037369216086
Wall_034,5,2.594723576908197,4,2,2,1,3,2,0,2,2,4,1,3,1,1,1,3,2,1,3,0,0,0,0,0,-1.2115719100099114,1.2580480220600827,47.86143094253775
Wall_035,5,11.604185173756527,2,5,1,1,2,2,2,1,2,2,4,1,3,1,0,0,4,3,2,0,0,0,0,1,0.857667522314838,1.2988045141473434,47.837498813124
Wall_036,4,7.951147361148915,3,1,2,2,1,0,5,3,3,2,3,4,1,5,0,3,4,4,4,0,0,0,0,0,0.7711252708287869,1.008912712971798,40.698096650026805
Wall_037,2,14.743642296716242,2,1,0,2,2,1,5,2,5,2,3,5,0,0,2,3,0,0,4,0,1,1,0,0,-1.6657105012747666,1.5523802058339626,43.133596210613405
Wall_038,1,9.03657400419455,2,1,0,2,3,3,1,2,1,3,0,3,1,2,0,2,2,2,1,0,0,0,1,0,-0.4442349427835003,0.39170963702777684,5.81684156027541
Wall_039,3,13.531748696042655,3,4,2,2,2,1,0,2,0,1,0,2,3,4,1,1,1,1,2,0,0,0,0,2,-1.6490056712980825,1.206662124874423,51.489489905944595
Wall_040,3,10.779107627560425,0,0,0,2,2,1,3,1,2,2,3,2,2,2,2,1,2,2,2,1,0,0,0,2,-1.762171134538726,0.6982365520921225,19.367995751581788
Wall_041,1,6.070286085670578,0,1,0,1,4,4,3,1,3,1,2,3,2,0,0,0,1,0,2,0,1,4,1,0,-4.324744579317118,1.6255881431617247,10.724790818369351
Wall_042,3,17.57788207811425,3,2,0,1,0,0,2,1,4,2,2,3,1,5,2,0,0,0,2,0,0,0,1,0,-0.5772756342038885,0.22836994143156858,31.906076270299376
Wall_043,1,24.815451279944213,1,0,0,0,3,3,1,2,0,0,4,5,0,2,1,1,4,3,2,0,0,0,1,0,-4.2555331652000286,1.2690189888563443,35.67102670474641
Wall_044,5,24.651097784419687,4,4,3,0,5,4,1,1,0,0,1,4,4,4,2,3,4,4,4,0,0,0,1,2,-1.1570392158487777,0.30734841775604854,53.448066778558896
Wall_045,2,7.592446798973784,5,2,1,0,1,0,5,5,4,4,4,3,2,3,2,2,1,0,1,1,0,0,1,2,-1.5317366146940212,0.48993180915771195,51.00883916243335
Wall_046,3,19.146987564581966,3,2,1,0,1,0,2,3,5,3,5,1,2,1,0,0,1,0,1,0,0,0,0,0,2.6297376431640105,0.3702129355042584,33.560283696580875
Wall_047,2,28.873103050105257,2,1,1,1,3,3,4,3,4,3,2,3,0,2,1,3,3,2,1,0,0,0,0,1,-2.537337015774104,0.3028764719694261,46.10491044309185
Wall_048,3,18.61858307477335,3,2,0,2,1,0,3,4,2,1,2,5,1,5,1,0,5,4,2,0,0,0,0,1,-1.902965962036189,2.6205602401552737,46.915579511464315
Wall_049,3,16.34707639590231,3,2,0,1,1,1,0,1,2,1,1,5,1,1,0,0,1,1,1,0,1,3,1,0,-0.953810347978931,0.504694247086033,54.79107211122912
Wall_050,2,4.0955266747447965,1,2,0,0,2,2,1,1,1,2,3,1,2,1,1,1,1,1,1,1,0,0,0,0,-1.45035912875694,3.928489378560806,22.520874787989
Wall_051,5,16.07230799757447,4,5,2,0,2,2,0,0,0,1,3,3,0,1,0,0,3,2,3,1,1,4,0,0,3.42313699355469,5.256167604678273,64.60964229690084
Wall_052,4,9.691509954311282,2,1,1,0,3,2,1,0,0,3,1,2,3,3,1,0,3,2,2,0,0,0,1,0,-2.846418432624049,1.2703585507177706,32.15213127081224
Wall_053,5,8.414160779796369,3,5,4,2,1,0,1,1,2,1,1,3,3,2,1,2,1,1,1,0,1,2,1,0,-0.9485112474646049,0.23147800557034293,71.22359424473989
Wall_054,4,15.463369513277556,2,1,1,0,3,2,2,2,2,3,1,3,0,1,4,1,2,2,1,0,1,5,0,0,0.8301631229110162,0.7039216196322473,24.811080909757436
Wall_055,3,24.290763899489875,2,2,1,0,2,1,4,3,4,4,2,1,3,0,3,2,2,3,3,0,1,5,0,2,2.2029583576050165,2.397244545325931,49.18332486648656
Wall_056,5,40.0,5,5,3,1,2,2,3,1,2,1,1,3,0,1,2,4,1,0,1,0,1,3,1,0,-0.9506038898255081,0.6868534685230026,63.76363244659983
Wall_057,1,3.3154194143821094,0,0,0,1,5,5,3,4,4,3,1,1,2,0,1,1,2,2,2,1,0,0,0,0,-4.7952490012594815,0.13655738640630233,21.694975427848597
Wall_058,2,22.172297345322377,2,1,0,1,3,2,0,2,0,2,0,4,2,3,2,2,2,2,3,0,0,0,0,0,-0.3752605539637619,1.2205501475834368,26.374813601006263
Wall_059,1,16.04448996195312,0,0,0,2,3,3,3,4,2,1,4,4,1,2,2,1,2,1,0,0,0,0,0,0,3.3800711904517873,2.7976652298722,24.41044395407638
Wall_060,2,22.48630839673252,1,1,1,2,2,1,0,1,0,1,0,1,4,0,1,1,2,2,3,0,1,5,0,0,0.7054685185760674,2.383911754337835,22.30415615427511
Wall_061,2,12.585571665264466,2,1,0,2,4,4,2,3,5,3,2,3,2,1,0,1,2,1,2,0,1,2,1,0,0.5910446558998317,0.2887817468280255,39.383403931267466
Wall_062,2,18.34341006392015,1,2,1,0,0,0,2,1,2,2,1,3,2,3,0,3,1,0,3,0,1,1,0,0,-2.6575449789424916,1.6756133001597124,45.10488949585982
Wall_063,4,12.171686091608219,1,3,3,0,2,2,1,3,3,2,1,4,2,2,0,1,1,0,2,1,1,5,0,0,-2.914178975721662,0.37366208992268674,51.699131114711285
Wall_064,2,4.11872989165368,0,0,0,1,1,0,1,2,0,2,2,4,1,1,0,1,5,5,2,0,0,0,1,0,0.04510412158524795,0.3692489446676165,23.459353501295055
Wall_065,2,17.188120386320524,2,2,1,2,3,2,2,1,4,3,1,0,0,3,0,1,3,2,3,1,1,3,2,0,-3.56594730570352,3.1080647456060366,33.108575318619195
Wall_066,3,5.217461136517993,1,2,1,1,2,1,5,4,5,3,4,4,0,4,2,0,3,2,2,0,0,0,3,1,1.953405555906276,0.4308611602381981,29.44650695218154
Wall_067,1,17.54575251371677,1,1,0,1,1,1,1,1,3,1,0,1,2,0,1,1,1,0,3,1,1,1,0,0,-2.1166156221659054,0.45825458364973576,31.96726689995038
